name,phone,website,category,address
"Reliance Fresh","","","supermarket"," Sampige Road,  "
"Pai Vihar","","","restaurant"," Thimmaiah Road,  "
"HOPCOMS","","","convenience"," ,  "
"Reliance smart","","","supermarket"," ,  "
"Papa John's","080 41280614","https://www.papajohnspizza.in","fast_food","504 Sampige Road, bangalore 560003"
"Vishnu Sagar","","","restaurant"," ,  "
"Sangeeth Bar and Restaurant","","","bar"," ,  "
"Kolkata Chaat","","","fast_food"," Sampige Road,  "
"MintLeaf","","","restaurant"," ,  "
"Emirates","","","restaurant"," Suberdar Chatram Road,  "
"Bengaluru Hospital, Susruta Medical Aid AndResearch Home Limited","","http://dpal.kar.nic.in/Kanunu%20padakosha%20PDF%20Files/Recognised%20Hospitals.pdf","hospital"," Rashtriya Vidyalaya Road,  560001"
"Golconda Chimney","+91 80 30623434","","restaurant"," ,  "
"City Supermarket","","","supermarket"," ,  "
"Spencers Daily","","https://www.spencers.in/","supermarket"," Pipeline Road,  "
"Bharath","","","restaurant"," ,  "
"Kadamba Veg","","","fast_food"," Bel Market,  560013"
"Sri Manjunath Medical & General stores","","","pharmacy"," ,  "
"Wah Paratha","","","restaurant"," ,  "
"Dava Sagar","","","pharmacy"," ,  "
"Apollo Pharmacy","","","pharmacy"," Horamavu Agara Main Road,  "
"More","","","supermarket"," Horamavu Agara Main Road,  "
"Ganesh Darshan","","","restaurant"," ,  "
"Upahara Darshini","","","restaurant"," ,  "
"Nagarjuna Chimney","","","restaurant"," ,  "
"La Casa","","","restaurant"," ,  "
"KFC","","","fast_food"," ,  "
"The Only Place","+91-80-32718989","","restaurant","13 Museum Road,  "
"Temple of The Senses","","","cafe"," Museum Road,  "
"Sathya's","","","pub"," ,  "
"Durga Restaurant","","","restaurant"," ,  "
"Aishwarya Bakery","","","bakery"," ,  "
"Indian Coffee House","","","restaurant"," Church Street,  "
"Mishra Pedha","","","fast_food"," Rajaram Mohan Roy Road,  "
"Udupi Sri Krishnarajathadri","","","restaurant"," Sampige Road, Malleshwaram,  "
"Nandini Palace","","","restaurant"," ,  "
"Denizen","","","clothes"," ,  "
"Beijing Bites","","","restaurant"," ,  "
"Van Heusen","","","clothes"," ,  "
"Koutons","","","clothes"," ,  "
"Blossoms","","","books"," Church Street,  "
"McDonald's","","","fast_food"," New BEL Road,  "
"Onesta","","","restaurant"," New BEL Road,  "
"Chung's","","","restaurant"," ,  "
"Sher-e-Punjab Dhaba","","","restaurant"," ,  "
"Raju Samosa","","","fast_food"," ,  "
"Sai Chats","","","fast_food"," ,  "
"Adarsh Dhaba","","","restaurant"," ,  "
"Pushyamee","","","pharmacy"," 8th Main, Malleswaram, Bangalore "
"Shanthi Sagar","","","cafe"," New BEL Road, Bangalore 560054"
"RMV Club","","","bar"," ,  "
"Baker's Hut","","","bakery"," ,  "
"Hunan Chinese Restaurant","+91-80-23413337","","restaurant","10 1st Main Road, New BEL Road, Chikkamaranahalli, Bangalore "
"Kabini Canteen","","","restaurant"," ,  "
"Manipal Northside Hospital","080 2222 1111","","hospital","71 11th Main Road, Opp Railway Station, Malleswaram, bangalore 560003"
"Manipal North Side Pharmacy","","","pharmacy"," ,  "
"Chicken County","","","restaurant"," ,  "
"Thirteenth Floor","","","pub","84 MG Road,  "
"Shiro","","","restaurant"," Vittal Mallaya Road, Bangalore 560001"
"Sandhya Sagar","","","restaurant"," ,  "
"Utsav","","","restaurant"," Shanti Road,  "
"Families Hypermarket","","","supermarket"," ,  "
"Rasa","","","restaurant"," Sampige Road,  "
"Sri Ganesh Darshan","","","fast_food"," ,  "
"Freska","","","restaurant"," ,  "
"Pizza Hut","","","restaurant"," New BEL Road,  "
"The Founders Brewery","","","pub"," ,  "
"Miller's 46","","","restaurant"," Millers Road,  "
"Dr. S. Shetty","","","doctors"," Jeevaraj Alva Road,  "
"Mint Masala","","","restaurant"," Jeevaraj Alva Road,  "
"Juice Junction","","","cafe"," Saint Mark's Road,  "
"Bowring Stall","","","cafe"," Saint Mark's Road,  "
"Shezan Restaurant","","","restaurant","17/1 Cunningham Road, Bengaluru "
"Domino's","","","fast_food"," Cunningham Road,  "
"Ramana's","","","restaurant"," Cunningham Road,  "
"Subway","","","fast_food"," Kasturba Road, Bangalore "
"McDonald's","","","fast_food"," Kasturba Road, Bangalore "
"Nisarga","","","restaurant"," Nrupathunga Road, Bengaluru 560001"
"Figurine Fitness","","","gymnasium"," ,  "
"Mathsyadarshini (Fish Canteen)","","","fast_food"," ,  "
"Cafe Coffee Day","","","cafe"," Lavelle Road, Bangalore "
"Government Primary Health Centre","","","hospital"," ,  "
"Voltas","","","electronics"," Dr. C V Raman Road,  "
"Museum Canteen","","","fast_food"," ,  "
"Canteen","","","restaurant"," ,  "
"Keshava Medical & General Stores","","","pharmacy"," ,  "
"Parkview Hotel","","","restaurant"," ,  "
"Divakars speciality Hospital","","http://www.healthforher.in/","hospital"," ,  560078"
"Chatpat","","","restaurant"," ,  "
"Cane Crush","","","cafe"," ,  "
"Sri Vinayaka Juice & Chats Center","","","cafe"," Kempe Gowda Road,  "
"Hotel Madhuvan","","","restaurant"," ,  "
"Hotel Empire","","","restaurant"," ,  "
"Sanman Veg","","","restaurant"," Cunningham Road,  "
"Sweet Chariot","","","cafe"," Cunningham Road,  "
"S. S. Pharma","","","pharmacy"," Benson Cross Road,  "
"Glitz Dental Care and Health Centre","","","dentist"," Benson Cross Road,  "
"Family Super Market","+91-80-23634305;+91-80-23430462","","supermarket"," Benson Cross Road,  "
"More","","","supermarket"," Nandi Durg Road,  "
"Arafa Stores","","","supermarket"," Benson Cross Road,  "
"Dr. Afrose Parveen Dental Clinic","","","dentist"," Benson Cross Road,  "
"Namdhari Fresh, Frazer Town","","https://www.namdharifresh.com/","supermarket"," Madhavaraya Mudaliar Road, Bangalore 560005"
"Cafe Coffee Day","","","cafe"," 80 Feet Road,  "
"A K Medicals","","","pharmacy"," ,  "
"Trust Medicals","","","pharmacy"," ,  "
"Hema Poly Clinic","","","hospital"," ,  "
"Sana Di Ge","","","restaurant"," ,  "
"Pure & Natural","","","cafe"," 13th Cross Sadashivanagar,  "
"New Shanthi Sagar","","","restaurant"," ,  "
"Saisudha Medical","","","pharmacy"," ,  "
"Nikki's Pub & Restaurant","","","restaurant"," ,  "
"Sri Balaji Stores","","","supermarket"," ,  "
"Mysore Resham Emporium","","","clothes"," KH Road (Double Road),  "
"Coffee Day","","","cafe"," Kempe Gowda Road,  "
"Chicken County","","","fast_food"," Dhanvanthari Road,  "
"Levi's","","","clothes"," Lavelle Road,  "
"Espirit","","","clothes"," Lavelle Road,  "
"Giovani","","","clothes"," Saint Mark's Road,  "
"Amruth Vegetarian Restaurant","","","restaurant"," Saint Mark's Road, Bangalore "
"Hotel Vinitha","","","restaurant"," ,  "
"Hare Krishna Pure Veg Restaurant","","","restaurant"," Gubbi Thotadappa Road,  "
"Balaji Restaurant","","","restaurant"," ,  "
"Fresh Cane","","","cafe"," Balepet Road,  "
"BMTC Hospital","","","hospital"," ,  "
"Domlur Club","","","bar"," 4th Main Road,  "
"Mamata","","","convenience"," ,  "
"Greeshma","","","pharmacy"," ,  "
"Barbeque Nation","","","restaurant"," 100 Feet Road( S K Karim Khan Road),  "
"Samosa","","","fast_food"," ,  "
"Hotel Madeshwara","","","fast_food"," ,  "
"Sweet City Bakery","","","convenience"," ,  "
"A Masala House","","","restaurant"," ,  "
"Kanyaka Parameshwari Nilaya","","","public_building"," ,  "
"Ramakrishna Nursing Home and Hospital","","","hospital"," ,  "
"Shilpa Homeopathic Clinic","","","clinic"," ,  "
"Levi's","","","clothes"," ,  "
"Adidas","","","sports"," ,  "
"Reebok","","","clothes"," ,  "
"Kabab Manor","","","restaurant"," ,  "
"Mini Bazaar","","","supermarket"," Hutchins Main Road, Bangalore 560084"
"Food Magic","","","fast_food"," ,  "
"Amruth Medicals","","","pharmacy"," ,  "
"Ebony","+91-80-25589333;+91-80-51783344;+91-80-25588697","","restaurant","84 (13th Floor, Barton Center) M G Road,  "
"Trends Woman","","","clothes"," ,  "
"Little Imperial","","","restaurant"," ,  "
"Cafe Coffee Day","","","cafe"," Outer Ring Road,  "
"SBF Health, Bengaluru Urban","","","clinic"," ,  560037"
"Hyderabad Biryani House","","","restaurant"," HAL Airport Road,  "
"Amrutha Condiments","","","bakery"," ,  "
"Empire","","","restaurant"," 80 Feet Road(Sir C.V. Raman Hospital Road),  "
"Sangama Bakery","","","bakery"," ,  "
"Shashi Clinic","","","clinic"," ,  "
"Sri Murti medicals","","","pharmacy"," ,  "
"Jockey","","","clothes"," ,  "
"Sri Ganesh Food Point","","","restaurant"," 29th Main, BTM Layout, Bangalore "
"The Family Dental Care","","","dentist"," ,  "
"Allen Solly","","","clothes"," ,  560076"
"Mom & Kid","","","clothes"," ,  "
"Punjabi Swag","","","restaurant"," ,  "
"More","","","supermarket"," 80 Feet Road Girinagar,  "
"Nilgiris Store","","","convenience"," 80 Feet Road Girinagar,  "
"Udupi Upahar","","","restaurant"," 80 Feet Road,  "
"Radhakrishna Pharmacy","","","pharmacy"," ,  "
"Sri Balaji Medicals and General Stores","","","pharmacy"," ,  "
"Food World","","","supermarket"," ,  "
"Anna Kuteera","","","restaurant"," ,  "
"Shanthi Sagar","","","restaurant"," Outer Ring Road,  "
"Ganesh Bhavan","","","restaurant"," ,  "
"Sri Vinayaka Poly Clinic","080 2672 8455","","hospital","8/45 80 Feet Road, SBM Colony, Near-Bank Colony Bus Stop, Banashankari 1st Stage, bangalore 560050"
"Schezwan","","","restaurant"," ,  "
"Namma Mane","","","fast_food"," ,  "
"Mallu Bakery","","","fast_food"," ,  "
"Kadai","","","fast_food"," ,  "
"Krishna Bakery","","","bakery"," Seetharampalya Road,  560048"
"Saipriya Bakery","","","bakery"," Basava Nagar Main Road,  560048"
"RMV Hospital","","","hospital"," ,  "
"SNR Pharmacy","","","pharmacy"," , Hoodi, Mahadevapura, Bangalore 560048"
"New Shanthi Bakery","","","bakery"," ,  560048"
"Yashomathi Hospitals","","","hospital"," Varthur Road, Bangalore "
"Aruna Medicals","","","pharmacy"," , Hoodi, Mahadevapura, Bangalore 560048"
"The Coffee Brewery","","","cafe"," Outer Ring Road, Doddanekundi, Marathahalli "
"Eden Dhaba","+91-80-65957659;+91-9342571046","","restaurant","103 , Devara Bisnhalli, Bellandur 560037"
"Calcutta Victoria Chat House","","","fast_food"," 60 Feet Road, AECS Layout, Kundalahalli, Whitefield "
"Domino's","","","fast_food"," Kaggadasspura Main Road,  "
"Cafe Coffee Day","","","cafe"," Kaggadasspura Main Road,  "
"Heritage Fresh","","","convenience"," GM Palya Main Road,  "
"Ruchi Restaurant","","","restaurant"," Kaggadasspura Main Road,  "
"Furniture Palace","","","furniture"," ITPL Main Road,  "
"Srinidhi Sagar","","","fast_food"," ITPL Road (Opposite Khivraj Bajaj Showroom),  "
"Chillys","+91 80 41487799;+91 80 41725222","","restaurant","956 1st Floor, ITPL Main Road,  560048"
"Looking Good Furniture","","","furniture"," ,  "
"Bhutan Board Furniture","","","furniture"," WOC Road, Basaveshwara Nagar, Bangalore "
"Bhagini Restaurant","+91-80-28540327","","restaurant","11 Hoodi Main Road, Whitefield, Bangalore "
"Pizza Hut","","","restaurant"," , Basaveshwara Nagar, Bangalore "
"Apollo Pharmacy","","","pharmacy"," Arvind Avenue,  "
"Ragam Supermarket","08028475211","","supermarket"," ,  "
"Inscape Designer Furniture","","","furniture"," ITPL Main Road (Near Hotel Zuri),  "
"Mallya Audikesh Diagnostics Center","+918022868423","http://www.medinovaindia.com","hospital","55 Infantry Road, Bangalore 560001"
"Mallige Medical Centre","080 2220 3333","https://www.mallige.com/","hospital","31/32 Crescent Rd,Nehru Nagar,Gandhi Nagar, Bangalore 560001"
"ArmaDQ","","","restaurant","27/7 Outer Ring Road, Doddanekundi, Marathahalli 560037"
"BLR37 Bar & Kitchen","","","restaurant","38/3 Outer Ring Road, Doddanekundi, Marathahalli 560037"
"Bhagini Bar","","","bar"," ,  "
"Ankur Family Restaurant","","","restaurant"," Hoodi Main Road,  "
"Spice Garden","+91-80-28476688;+91-80-65636522;+91-80-41705020","","restaurant"," HAL Airport Road (near Marathahalli Bridge), Marathhalli 560037"
"Infusion Restaurant","","","restaurant","95/3 Outer Ring Road, Doddanekundi, Bangalore "
"Smart Point","","","supermarket"," Outer Ring Road, Doddanekundi, Bangalore "
"Ullas Refreshment","","","restaurant"," ,  "
"Devine Hospital","","","hospital"," ,  560046"
"Vijay Medicals","","","pharmacy"," ,  "
"Elements","","","restaurant"," Nandi Durg Road,  "
"Subway","","","fast_food"," Brigade Road,  "
"Hungry Panda","","","restaurant"," 80 Feet Road,  "
"New City Super Market","","","supermarket"," Kaggadasspura Main Road,  "
"Trust","","","pharmacy"," Kaggadasspura Main Road,  "
"Reddys","","","restaurant"," Kaggadasspura Main Road,  "
"Bakers Park","","","fast_food"," ,  "
"Reliance Fresh","","","supermarket"," Kaggadasspura Main Road,  "
"Nilgiri's","","","supermarket"," Kaggadasspura Main Road,  "
"Cosmos","","","convenience"," Kaggadasspura Main Road,  "
"Domino's","","","fast_food"," 100 Feet Road,  "
"Kund","","","restaurant"," 100 Feet Road,  "
"Cakes and Bakes","","","bakery"," ,  "
"Paratha Shop","","","fast_food"," New BEL Road,  "
"Barista","","","cafe"," New BEL Road,  "
"Cafe Coffee Day","+91-80-41641300","","cafe"," Whitefield Main Road, Bangalore 560066"
"Chung WAH","+91-80-41641300","","restaurant","3/3 Whitefield Main Road, Bangalore 560066"
"Lalbagh Nursing Home","","","hospital"," Siddapura Road,  "
"Highgates Hotel","","http://highgateshotel.com","restaurant"," Church Street,  "
"McDonald's","07306057478","https://mcdelivery.co.in/","fast_food"," ITPL Main Road, Bangalore "
"Hotel Zaica","+91-80-41162485","","restaurant","125 Brookfield Main Road, Bangalore 560066"
"Gangothri Restaurant","","","restaurant"," 80 Feet Road,  "
"Pizza Hut","","","restaurant"," 80 Feet Road,  "
"Taco Bell","","","fast_food"," Koramangala Inner Ring Road,  "
"Matthan","","","restaurant"," ,  "
"The Raymond Shop","","","clothes"," ,  "
"Beijing Bites","+91-80-40930388;+91-80-40930488","https://www.beijingbites.com/","restaurant"," 8th Road, Bangalore 560066"
"The Mark Boulevard","+91-80-41985555","http://www.themarkboulevard.com/","restaurant","23 EPIP Zone, Whitefield, Bangalore 560066"
"Dr. Batra Clinic","","","hospital"," ,  "
"Hotel Janardhana","","","restaurant"," Kumara Krupa Road,  "
"Government Maternity Hospital","","","hospital"," ,  "
"Domino's","","","fast_food"," Whitefield Road, Bangalore "
"Sancheswar Clinic","","","doctors"," ,  "
"Vikas Medicals","","","pharmacy"," ,  "
"SLV Fast Food","","","fast_food"," ,  "
"Durga Chats","","","fast_food"," ,  "
"Paratha Point","","","fast_food"," ,  "
"LJB Iyengar's Bakery","","","fast_food"," ,  "
"Nature Fresh","","","cafe"," ,  "
"Mamatha Departmental Store","","","convenience"," ,  "
"Soujanya Clinic","","","hospital"," ,  "
"Kanva Diagnostics Collection Centre","","","hospital"," ,  "
"Vodafone","","","convenience"," ,  "
"Seetha General Store","","","convenience"," ,  "
"Kabab Studio","+91-80-41291300","https://www.goldfinchhotels.com/","restaurant","32/3 Crescent Road,  "
"Nike","","","clothes"," ,  "
"Foody's","","","restaurant"," ,  "
"Olive Beach","","","restaurant"," ,  "
"Bandhej","","","clothes"," Chinmaya Mission Hospital Road,  "
"5 Centrigrade","","","cafe"," Forum Value Mall,  "
"Adidas","","","sports"," Forum Value Mall,  "
"Sisley Outlet Clothes","","","clothes"," Forum Value Mall,  "
"Reebok","","","clothes"," Forum Value Mall,  "
"Subway","","","fast_food"," Forum Value Mall,  "
"Pantaloon","","","clothes"," Forum Value Mall,  "
"Lee","","","clothes"," Forum Value Mall,  "
"MTR","","","restaurant"," Forum Value Mall,  "
"Sony Centre","","","electronics"," Forum Value Mall,  "
"Crossword","","","books"," Forum Value Mall,  "
"Cream n Desserts","","","cafe"," Forum Value Mall,  "
"McDonald's","","","fast_food"," Forum Value Mall,  "
"Taj Express","","","fast_food"," Forum Value Mall,  "
"Loot Mart","","","clothes"," Forum Value Mall,  "
"Liberty Silks","","","clothes"," Forum Value Mall,  "
"Espirit","","","clothes"," Forum Value Mall,  "
"Chettinadu Palate","","","restaurant"," Forum Value Mall,  "
"Blackberrys","","","clothes"," Forum Value Mall,  "
"Rajdhani Snacklet","","","fast_food"," Forum Value Mall,  "
"The Time Factory","","","clothes"," Forum Value Mall,  "
"Beijing Bites","","","fast_food"," Forum Value Mall,  "
"Namma Sagar","","","restaurant"," Forum Value Mall,  "
"KFC","","","fast_food"," Forum Value Mall,  "
"GoPizza","","","fast_food"," Forum Value Mall,  "
"Calvin Klein","","","clothes"," Forum Value Mall,  "
"Nike Factory Store","","","clothes"," Forum Value Mall,  "
"Pepe Jeans","","","clothes"," Forum Value Mall,  "
"Puma","","","clothes"," Forum Value Mall,  "
"The Book Shelf","","","books"," Forum Value Mall,  "
"Jute Cottage","","","clothes"," Forum Value Mall,  "
"Mega Mart","","","clothes"," Forum Value Mall,  "
"Rattrap","+91-80-41521236","","clothes","62 , Whitefield, Bangalore 560066"
"Favourite Shop","","","clothes"," Forum Value Mall,  "
"Sanskruti Silks","","","clothes"," Forum Value Mall,  "
"Rare","","","clothes"," Forum Value Mall,  "
"Peter England","","","clothes"," Forum Value Mall,  "
"Vivah","","","clothes"," Forum Value Mall,  "
"Neeru’S Fashion","","","clothes"," Forum Value Mall,  "
"Stanza","","","clothes"," Forum Value Mall,  "
"Bulchee","","","clothes"," Forum Value Mall,  "
"Levi's","","","clothes"," Forum Value Mall,  "
"Tommy Hilfiger","","","clothes"," Forum Value Mall,  "
"Kalmane Koffee","","","cafe"," Forum Value Mall,  "
"Zaari","","","clothes"," Forum Value Mall,  "
"United Colors of Benetton","","","clothes"," Forum Value Mall,  "
"Toscano's","","","restaurant"," Forum Value Mall,  "
"Van Heusen","","","clothes"," Forum Value Mall,  "
"Alen Solly","","","clothes"," Forum Value Mall,  "
"New Akshay Mallya Hospital","","","hospital"," Varthur Road,  560037"
"Puma","","","clothes"," Varthur Road,  "
"Happy Mart","","","convenience"," Varthur Road,  "
"Reebok","","","clothes"," Varthur Road,  "
"Lilliput","","","clothes"," Varthur Road,  "
"Cafe Coffee Day","","","cafe","102 Outer ring road, Bellandur,  "
"Domino's","","","fast_food","102 Outer ring road, Bellandur,  "
"McDonald's","","https://www.mcdonaldsindia.com/","fast_food"," Outer ring road, Bellandur village,  "
"Qmin","","","cafe"," ,  "
"Sri Vishnu Palace","","","restaurant"," ORR Doddanakundi,  "
"Plate 99 Restaurant","+91 85508 35554","","restaurant"," ,  "
"Sarovar Portico","","","bar"," ORR  opposite bhagini,  "
"Preethi Condiments","","","bakery"," ,  "
"Presidency Hospital","","","hospital"," Whitefield Road,  "
"BGS Gleneagles Hospitals","","https://bgsgleneaglesglobalhospitalbengaluru.com/","hospital"," ,  560060"
"Furniture Quotient","","","furniture"," ,  "
"Srinivas Clinic","","","hospital"," 29 Main,  "
"Barista","","","cafe"," ,  "
"Rendezvous","","","bar"," ,  "
"Damro","","","furniture"," Outer Ring Road, Marathahalli, Bangalore "
"City Pearl","","","supermarket"," Horamavu Agara Main Road,  "
"7 Days","","","supermarket"," Horamavu Agara Main Road,  "
"MK Retail Super Market","","https://www.mkretail.com/","supermarket"," 17th Cross Road, BENGALURU 560102"
"Chat","","","fast_food"," ,  "
"Domino's","","","fast_food"," 5th Main,  "
"Trust Pharma","","","pharmacy"," ,  "
"Shree Sagar CTR","","","restaurant"," ,  "
"Queens Nursing Home","","","clinic"," ,  "
"Olympic Sports","","","sports"," ,  "
"Parota Point","","","fast_food"," ,  "
"Bun World","","","bakery"," ,  "
"Sri Ganesh Medicals","","","pharmacy"," 8th Main Road, Bangalore 560055"
"Homely Organic","","https://homelysupermarket.com/","supermarket"," ,  "
"Food Camp","","","restaurant"," ,  "
"Sri Sai Dosa Center","","","restaurant"," ,  "
"Iyengar's Bakery","","","bakery"," ,  "
"Amrut Ice-cream","","","fast_food"," ,  "
"Papa John's","080-42134320","","fast_food"," ,  "
"Swadeshi","","","clothes"," ,  "
"Next","","","electronics"," ,  "
"Eden Park","","","restaurant","21/1 Cunningham Road,  "
"Cafe Coffee Day","","","cafe"," Hosur Road, Bangalore "
"Shivakumar Medicals & General Store","","","pharmacy"," 27th main,  560102"
"Giri Medicals","","","pharmacy"," 13th cross,  560102"
"India Coffee House","","","cafe"," Dr B R Ambedkar Veedhi,  "
"Shiva Bar","","","bar"," ,  "
"Domino's","","","fast_food"," ,  "
"Sri Krishna Upahar","","","fast_food"," ,  "
"Metro Hospital","","","hospital"," ,  "
"Ann's View Bakery","","","bakery"," Thippasandra Main Road,  "
"Coffeeday Xpress","","","cafe"," ,  "
"Sue's Kitchen","","","restaurant"," ,  "
"Max","","","clothes"," ,  "
"M K Retail","","https://www.mkretail.com/","supermarket"," Chinmaya Mission Hospital Road, Bengaluru 560038"
"Sapna Book House","","","books"," 80 Feet Road(Sir C.V. Raman Hospital Road),  "
"Mainland China","","","restaurant"," ,  "
"Kota Kachori","","","fast_food"," ,  "
"Coast to Coast Sea food restaurant","","","restaurant"," ,  "
"Tamrind Restaurant","","","restaurant"," ,  "
"Kubey Seafood Restaurant","","","restaurant"," ,  "
"lal rakhra sports shop","080 2555 5684","","sports","15/39 Cambridge Road, Halasuru Police Station Road, Halasuru, Bengaluru 560008"
"Health and Glow","","","pharmacy"," Sai Baba Mandira Road,  "
"Udupi Swada","","","restaurant"," ,  "
"NJAC","","","cafe"," ,  "
"Prasiddhi","","","restaurant"," ,  "
"Nandhini Deluxe","","","restaurant"," ,  "
"Incara","","","restaurant"," ,  "
"Reliance Smart Point","","","supermarket"," ,  "
"Sabari Juice Junction","","","fast_food","1650 Jeevan Bhima Nagar 10th Main Road,  "
